Clave de entidad,Entidad federativa,Clave de municipio,Municipio,"Población 2015*
(leer nota al final del cuadro)","Porcentaje de Pobreza
2015","Personas Pobres
2015","Carencias promedio de Pobreza
2015","Porcentaje Pobreza Extrema
2015","Personas Pobreza Extrema
2015","Carencias promedio Pobreza Extrema
2015","Porcentaje
Pobreza Moderada
2015","Personas Pobreza Moderada
2015","Carencias promedio Pobreza Moderada
2015","Porcentaje Vulnerables por carencia social
2015","Personas Vulnerables por carencia social
2015","Carencias promedio Vulnerables por carencia social
2015","Porcentaje Vulnerables por ingreso
2015","Personas Vulnerables por ingreso
2015","Porcentaje No pobres y no vulnerables
2015","Personas No pobres y no vulnerables
2015","Porcentaje Rezago educativo
2015","Personas Rezago educativo
2015","Carencias promedio Rezago educativo
2015","Porcentaje
2015 Carencia por acceso a los servicios de salud","Personas Carencia por acceso a los servicios de salud
2015","Carencias promedio Carencia por acceso a los servicios de salud
2015","Porcentaje Carencia por acceso a la seguridad social
2015","Personas Carencia por acceso a la seguridad social
2015","Carencias promedio Carencia por acceso a la seguridad social
2015","Porcentaje Carencia por calidad y espacios de la vivienda
2015","Personas Carencia por calidad y espacios de la vivienda
2015","Carencias promedio Carencia por calidad y espacios de la vivienda
2015","Porcentaje Carencia por acceso a los servicios básicos en la vivienda 
2015","Personas Carencia por acceso a los servicios básicos en la vivienda
2015","Carencias promedio Carencia por acceso a los servicios básicos en la vivienda
2015","Porcentaje Carencia por acceso a la alimentación
2015","Personas Carencia por acceso a la alimentación
2015","Carencias promedio Carencia por acceso a la alimentación
2015","Porcentaje Población con al menos una carencia social
2015","Personas Población con al menos una carencia social
2015","Carencias promedio Población con al menos una carencia social
2015","Porcentaje Población con tres o más carencias sociales
2015","Personas Población con tres o más carencias sociales
2015","Carencias promedio
 Población con tres o más carencias sociales 2015","Porcentaje  Población con ingreso inferior a la línea de bienestar 
2015","Personas  Población con ingreso inferior a la línea de bienestar
2015","Carencias promedio  Población con ingreso inferior a la línea de bienestar
2015","Porcentaje Población con ingreso inferior a la línea de bienestar mínimo
2015","Personas Población con ingreso inferior a la línea de bienestar mínimo
2015","Carencias promedio Población con ingreso inferior a la línea de bienestar mínimo
2015"
15,México,15108,Tultepec,"158,821",40.7,"64,578",1.9,4.4,"7,015",3.3,36.2,"57,563",1.8,20.7,"32,873",1.7,14,"22,258",24.6,"39,112",10.6,"16,795",2.5,22.1,"35,093",2.5,50.7,"80,527",2,7.7,"12,200",2.7,0.8,"1,321",3.2,21,"33,394",2.4,61.4,"97,451",1.8,12.3,"19,471",3.3,54.7,"86,836",1.4,16.1,"25,629",1.8
15,México,15109,Tultitlán,"571,074",36.4,"207,937",1.9,3.3,"19,010",3.3,33.1,"188,926",1.7,18.2,"103,725",1.6,19,"108,366",26.4,"151,046",8.7,"49,798",2.3,21.3,"121,454",2.4,42.2,"241,187",1.9,5.2,"29,544",2.9,1.5,"8,766",3.6,18.1,"103,223",2.2,54.6,"311,662",1.8,9.3,"53,004",3.3,55.4,"316,302",1.2,16,"91,456",1.5
15,México,15110,Valle de Bravo,"66,258",61.2,"40,578",1.9,8,"5,325",3.5,53.2,"35,252",1.7,26.9,"17,804",1.6,4.7,"3,102",7.2,"4,774",20.8,"13,801",2.7,9.9,"6,585",2.7,81.8,"54,219",1.9,13.6,"9,029",3.2,19.2,"12,716",3,16.8,"11,121",2.9,88.1,"58,382",1.8,19.6,"13,004",3.4,65.9,"43,680",1.8,24.1,"15,943",2.1
15,México,15111,Villa de Allende,"48,454",81.8,"39,659",2.5,28.5,"13,826",3.4,53.3,"25,833",2,15.3,"7,409",2.1,1.5,705,1.4,681,32.9,"15,929",3.2,10.2,"4,946",3.3,91.3,"44,216",2.5,17.9,"8,659",3.6,56.5,"27,380",3,30.2,"14,624",3.3,97.1,"47,068",2.5,47,"22,781",3.4,83.3,"40,364",2.5,49.1,"23,813",2.7
15,México,15112,Villa del Carbón,"46,647",71.7,"33,464",2.3,17.5,"8,147",3.5,54.3,"25,317",2,23.1,"10,786",1.8,1.9,909,3.2,"1,489",24.8,"11,557",3.1,8.6,"4,031",3.3,88.1,"41,080",2.3,18.2,"8,495",3.4,40,"18,673",3.1,30.5,"14,227",3.1,94.9,"44,250",2.2,34.4,"16,047",3.5,73.7,"34,373",2.3,33.4,"15,595",2.6
15,México,15113,Villa Guerrero,"72,391",71.3,"51,592",2.2,12.1,"8,757",3.5,59.2,"42,835",2,24.9,"18,040",1.9,1.3,976,2.5,"1,783",32.1,"23,221",3,12.3,"8,872",3,91.7,"66,403",2.2,14.1,"10,198",3.5,32,"23,168",3.1,26,"18,811",3.1,96.2,"69,632",2.2,31.7,"22,932",3.5,72.6,"52,568",2.2,26.2,"18,976",2.5
15,México,15114,Villa Victoria,"95,819",71.7,"68,702",2.7,21.5,"20,632",3.6,50.2,"48,070",2.3,26.3,"25,196",2.3,0.6,559,1.4,"1,362",36.3,"34,737",3.3,9,"8,642",3.6,92.5,"88,647",2.6,18.5,"17,685",3.8,66.8,"63,995",3,32,"30,627",3.4,98,"93,899",2.6,49.7,"47,635",3.5,72.3,"69,261",2.7,33.8,"32,409",2.9
15,México,15115,Xonacatlán,"53,687",53.9,"28,935",1.8,5.7,"3,072",3.3,48.2,"25,862",1.7,28.3,"15,204",1.6,7.2,"3,884",10.6,"5,664",14.4,"7,746",2.5,15,"8,053",2.5,75,"40,264",1.8,9.8,"5,275",2.9,12.1,"6,520",2.9,18,"9,652",2.6,82.2,"44,139",1.8,15.2,"8,166",3.3,61.1,"32,818",1.6,19.2,"10,305",1.9
15,México,15116,Zacazonapan,"4,330",67.6,"2,925",2,12.2,528,3.4,55.4,"2,397",1.7,25.5,"1,104",1.5,0.9,38,6.1,263,29.6,"1,280",2.6,2.4,104,3,86.5,"3,746",1.9,7.8,336,3.4,28.5,"1,234",2.9,18.1,786,3,93.1,"4,029",1.9,22.5,973,3.3,68.4,"2,963",2,31.5,"1,365",2.2
15,México,15117,Zacualpan,"13,160",76.1,"10,009",2.5,28.2,"3,711",3.4,47.9,"6,298",2,19.9,"2,621",1.7,1.5,193,2.6,337,31.8,"4,191",3.1,4.3,566,3.2,86.2,"11,342",2.4,15.3,"2,018",3.6,60.3,"7,941",2.9,26.7,"3,515",3.3,96,"12,630",2.3,42.2,"5,554",3.4,77.5,"10,202",2.5,45.5,"5,985",2.8
15,México,15118,Zinacantepec,"200,865",53.3,"107,092",2,7.8,"15,602",3.5,45.5,"91,489",1.7,18.9,"37,986",1.6,10.2,"20,476",17.6,"35,312",16.3,"32,668",2.8,14.3,"28,666",2.7,63.3,"127,053",2,10.5,"21,108",3.2,13.7,"27,552",3.1,19.6,"39,442",2.7,72.2,"145,077",1.9,16.8,"33,736",3.5,63.5,"127,568",1.7,22.5,"45,134",2.1
15,México,15119,Zumpahuacán,"17,731",78.3,"13,879",2.5,22.8,"4,042",3.5,55.5,"9,836",2.1,19.9,"3,524",2.1,0.4,71,1.5,258,30,"5,320",3.1,9.1,"1,618",3.3,91.7,"16,265",2.5,26.7,"4,741",3.5,60.2,"10,669",3,22,"3,894",3.4,98.1,"17,403",2.4,43.7,"7,748",3.5,78.7,"13,949",2.5,42.8,"7,592",2.7
15,México,15120,Zumpango,"211,459",46.9,"99,241",1.9,4.6,"9,801",3.3,42.3,"89,440",1.7,22.8,"48,108",1.6,11.5,"24,299",18.8,"39,811",11.7,"24,689",2.4,21.8,"46,150",2.5,58.6,"123,906",1.9,7.3,"15,407",2.8,4,"8,409",2.9,20.9,"44,092",2.2,69.7,"147,350",1.8,12.6,"26,558",3.3,58.4,"123,540",1.5,18.1,"38,211",1.8
15,México,15121,Cuautitlán Izcalli,"509,985",27.7,"141,173",1.9,2.8,"14,401",3.3,24.9,"126,772",1.8,20.8,"105,879",1.7,15.3,"77,928",36.3,"185,005",6.7,"34,153",2.2,21.9,"111,653",2.4,37.2,"189,795",2,3.3,"16,999",2.9,2.8,"14,125",2.8,15.8,"80,357",2.2,48.4,"247,052",1.8,8.4,"43,048",3.3,43,"219,101",1.2,11.6,"59,110",1.6
15,México,15122,Valle de Chalco Solidaridad,"452,170",59,"266,702",2.1,9.5,"42,778",3.3,49.5,"223,924",1.8,18.5,"83,537",1.8,12.2,"55,138",10.3,"46,793",15.8,"71,570",2.7,32.3,"146,256",2.6,66.2,"299,228",2.1,16.1,"72,897",2.8,1,"4,508",3.2,24.4,"110,103",2.6,77.5,"350,239",2,21,"94,843",3.3,71.2,"321,840",1.7,27.8,"125,851",2
15,México,15123,Luvianos,"24,639",84.9,"20,914",2.5,32.1,"7,911",3.5,52.8,"13,003",1.9,12.8,"3,159",1.8,0.9,231,1.4,336,34.9,"8,604",3,4.9,"1,204",3.2,89.2,"21,968",2.5,20.6,"5,087",3.6,56.8,"14,007",3,29.3,"7,230",3.3,97.7,"24,073",2.4,44.7,"11,012",3.4,85.8,"21,145",2.5,54.4,"13,402",2.7
15,México,15124,San José del Rincón,"84,040",76.3,"64,133",2.6,22.8,"19,120",3.5,53.6,"45,014",2.3,23.2,"19,507",2.3,0.1,98,0.4,302,38.9,"32,693",3.2,8,"6,730",3.5,94.9,"79,770",2.6,23.1,"19,416",3.6,70.3,"59,090",2.9,18.6,"15,616",3.6,99.5,"83,641",2.6,48.7,"40,958",3.4,76.4,"64,231",2.6,39.4,"33,153",2.7
15,México,15125,Tonanitla,"10,190",49.6,"5,055",1.9,5.1,519,3.3,44.5,"4,535",1.8,29.7,"3,025",1.7,6,615,14.7,"1,495",13.4,"1,360",2.5,26.2,"2,669",2.4,68.2,"6,951",1.9,11.4,"1,157",2.7,8.6,880,2.7,17.6,"1,794",2.4,79.3,"8,080",1.8,14.7,"1,503",3.3,55.6,"5,669",1.7,19.1,"1,946",2
